layer,sequences,time_us
model_core_stage_6,36,79463.246190694
model_core_stage_7,36,70652.414818734
model_core,37,617900.477872594
model_core_stage_0,37,70777.830926938
model_core_stage_1,37,70777.830926938
model_core_stage_2,37,80888.949630786
model_core_stage_3,37,80888.949630786
model_core_stage_4,37,80888.949630786
model_core_stage_5,37,80888.949630786
model_core_stage_6,37,80888.949630786
model_core_stage_7,37,71900.067864789
model_core,38,628547.369847368
model_core_stage_0,38,71999.586764177
model_core_stage_1,38,71999.586764177
model_core_stage_2,38,82285.242016202
model_core_stage_3,38,82285.242016202
model_core_stage_4,38,82285.242016202
model_core_stage_5,38,82285.242016202
model_core_stage_6,38,82285.242016202
model_core_stage_7,38,73121.986238003
model_core,39,638974.632235933
model_core_stage_0,39,73196.139206277
model_core_stage_1,39,73196.139206277
model_core_stage_2,39,83652.730521460
model_core_stage_3,39,83652.730521460
model_core_stage_4,39,83652.730521460
model_core_stage_5,39,83652.730521460
model_core_stage_6,39,83652.730521460
model_core_stage_7,39,74318.701216079
model_core,40,649186.799166339
model_core_stage_0,40,74368.008563015
model_core_stage_1,40,74368.008563015
model_core_stage_2,40,84992.009786303
model_core_stage_3,40,84992.009786303
model_core_stage_4,40,84992.009786303
model_core_stage_5,40,84992.009786303
model_core_stage_6,40,84992.009786303
model_core_stage_7,40,75490.733108791
model_core,41,659188.311162137
model_core_stage_0,41,75515.704402667
model_core_stage_1,41,75515.704402667
model_core_stage_2,41,86303.662174477
model_core_stage_3,41,86303.662174477
model_core_stage_4,41,86303.662174477
model_core_stage_5,41,86303.662174477
model_core_stage_6,41,86303.662174477
model_core_stage_7,41,76638.591484418
model_core,42,668983.517074793
model_core_stage_0,42,76639.725773762
model_core_stage_1,42,76639.725773762
model_core_stage_2,42,87588.258027156
model_core_stage_3,42,87588.258027156
model_core_stage_4,42,87588.258027156
model_core_stage_5,42,87588.258027156
model_core_stage_6,42,87588.258027156
model_core_stage_7,42,77762.775391487
model_core,43,678576.675976203
model_core_stage_0,43,77740.561422254
model_core_stage_1,43,77740.561422254
model_core_stage_2,43,88846.355911148
model_core_stage_3,43,88846.355911148
model_core_stage_4,43,88846.355911148
model_core_stage_5,43,88846.355911148
model_core_stage_6,43,88846.355911148
model_core_stage_7,43,78863.773575955
model_core,44,687971.959012146
model_core_stage_0,44,78818.690004218
model_core_stage_1,44,78818.690004218
model_core_stage_2,44,90078.502861963
model_core_stage_3,44,90078.502861963
model_core_stage_4,44,90078.502861963
model_core_stage_5,44,90078.502861963
model_core_stage_6,44,90078.502861963
model_core_stage_7,44,79942.064693893
model_core,45,697173.451217462
model_core_stage_0,45,79874.580294142
model_core_stage_1,45,79874.580294142
model_core_stage_2,45,91285.234621877
model_core_stage_3,45,91285.234621877
model_core_stage_4,45,91285.234621877
model_core_stage_5,45,91285.234621877
model_core_stage_6,45,91285.234621877
model_core_stage_7,45,80998.117519793
model_core,46,706185.153293769
model_core_stage_0,46,80908.691388935
model_core_stage_1,46,80908.691388935
model_core_stage_2,46,92467.075873068
model_core_stage_3,46,92467.075873068
model_core_stage_4,46,92467.075873068
model_core_stage_5,46,92467.075873068
model_core_stage_6,46,92467.075873068
model_core_stage_7,46,82032.391150560
model_core,47,715010.983350475
model_core_stage_0,47,81921.472907707
model_core_stage_1,47,81921.472907707
model_core_stage_2,47,93624.540465951
model_core_stage_3,47,93624.540465951
model_core_stage_4,47,93624.540465951
model_core_stage_5,47,93624.540465951
model_core_stage_6,47,93624.540465951
model_core_stage_7,47,83045.335205307
model_core,48,723654.778609840
model_core_stage_0,48,82913.365187440
model_core_stage_1,48,82913.365187440
model_core_stage_2,48,94758.131642789
model_core_stage_3,48,94758.131642789
model_core_stage_4,48,94758.131642789
model_core_stage_5,48,94758.131642789
model_core_stage_6,48,94758.131642789
model_core_stage_7,48,84037.390021015
model_core,49,732120.297076853
model_core_stage_0,49,83884.799474609
model_core_stage_1,49,83884.799474609
model_core_stage_2,49,95868.342256696
model_core_stage_3,49,95868.342256696
model_core_stage_4,49,95868.342256696
model_core_stage_5,49,95868.342256696
model_core_stage_6,49,95868.342256696
model_core_stage_7,49,85008.986844158
model_core,50,740411.219174625
model_core_stage_0,50,84836.198112848
model_core_stage_1,50,84836.198112848
model_core_stage_2,50,96955.654986112
model_core_stage_3,50,96955.654986112
model_core_stage_4,50,96955.654986112
model_core_stage_5,50,96955.654986112
model_core_stage_6,50,96955.654986112
model_core_stage_7,50,85960.548018372
model_core,51,748531.149346023
model_core_stage_0,51,85767.974726749
model_core_stage_1,51,85767.974726749
model_core_stage_2,51,98020.542544856
model_core_stage_3,51,98020.542544856
model_core_stage_4,51,98020.542544856
model_core_stage_5,51,98020.542544856
model_core_stage_6,51,98020.542544856
model_core_stage_7,51,86892.487168248
model_core,52,756483.617622235
model_core_stage_0,52,86680.534401858
model_core_stage_1,52,86680.534401858
model_core_stage_2,52,99063.467887838
model_core_stage_3,52,99063.467887838
model_core_stage_4,52,99063.467887838
model_core_stage_5,52,99063.467887838
model_core_stage_6,52,99063.467887838
model_core_stage_7,52,87805.209379332
model_core,53,764272.081158965
model_core_stage_0,53,87574.273860961
model_core_stage_1,53,87574.273860961
model_core_stage_2,53,100084.884412527
model_core_stage_3,53,100084.884412527
model_core_stage_4,53,100084.884412527
model_core_stage_5,53,100084.884412527
model_core_stage_6,53,100084.884412527
model_core_stage_7,53,88699.111374410
model_core,54,771899.925740897
model_core_stage_0,54,88449.581636726
model_core_stage_1,54,88449.581636726
model_core_stage_2,54,101085.236156259
model_core_stage_3,54,101085.236156259
model_core_stage_4,54,101085.236156259
model_core_stage_5,54,101085.236156259
model_core_stage_6,54,101085.236156259
model_core_stage_7,54,89574.581686150
model_core,55,779370.467255116
model_core_stage_0,55,89306.838240787
model_core_stage_1,55,89306.838240787
model_core_stage_2,55,102064.957989471
model_core_stage_3,55,102064.957989471
model_core_stage_4,55,102064.957989471
model_core_stage_5,55,102064.957989471
model_core_stage_6,55,102064.957989471
model_core_stage_7,55,90432.000826186
model_core,56,786686.953134101
model_core_stage_0,56,90146.416329329
model_core_stage_1,56,90146.416329329
model_core_stage_2,56,103024.475804948
model_core_stage_3,56,103024.475804948
model_core_stage_4,56,103024.475804948
model_core_stage_5,56,103024.475804948
model_core_stage_6,56,103024.475804948
model_core_stage_7,56,91271.741450703
model_core,57,793852.563768932
model_core_stage_0,57,90968.680865264
model_core_stage_1,57,90968.680865264
model_core_stage_2,57,103964.206703159
model_core_stage_3,57,103964.206703159
model_core_stage_4,57,103964.206703159
model_core_stage_5,57,103964.206703159
model_core_stage_6,57,103964.206703159
model_core_stage_7,57,92094.168522612
model_core,58,800870.413893323
model_core_stage_0,58,91773.989277049
model_core_stage_1,58,91773.989277049
model_core_stage_2,58,104884.559173770
model_core_stage_3,58,104884.559173770
model_core_stage_4,58,104884.559173770
model_core_stage_5,58,104884.559173770
model_core_stage_6,58,104884.559173770
model_core_stage_7,58,92899.639470372
