layer,sequences,time_us
model_core_stage_4,41,77413.191096724
model_core_stage_5,41,77413.191096724
model_core_stage_6,41,77413.191096724
model_core_stage_7,41,70582.586602439
model_core,42,611541.414080659
model_core_stage_0,42,70457.370740616
model_core_stage_1,42,78285.967489573
model_core_stage_2,42,78285.967489573
model_core_stage_3,42,78285.967489573
model_core_stage_4,42,78285.967489573
model_core_stage_5,42,78285.967489573
model_core_stage_6,42,78285.967489573
model_core_stage_7,42,71368.238402603
model_core,43,618139.585339632
model_core_stage_0,43,71218.680534352
model_core_stage_1,43,79131.867260391
model_core_stage_2,43,79131.867260391
model_core_stage_3,43,79131.867260391
model_core_stage_4,43,79131.867260391
model_core_stage_5,43,79131.867260391
model_core_stage_6,43,79131.867260391
model_core_stage_7,43,72129.701242937
model_core,44,624534.581252839
model_core_stage_0,44,71956.547018960
model_core_stage_1,44,79951.718909956
model_core_stage_2,44,79951.718909956
model_core_stage_3,44,79951.718909956
model_core_stage_4,44,79951.718909956
model_core_stage_5,44,79951.718909956
model_core_stage_6,44,79951.718909956
model_core_stage_7,44,72867.720774145
model_core,45,630732.664918832
model_core_stage_0,45,72671.692859659
model_core_stage_1,45,80746.325399622
model_core_stage_2,45,80746.325399622
model_core_stage_3,45,80746.325399622
model_core_stage_4,45,80746.325399622
model_core_stage_5,45,80746.325399622
model_core_stage_6,45,80746.325399622
model_core_stage_7,45,73583.019661443
model_core,46,636739.906369415
model_core_stage_0,46,73364.818444734
model_core_stage_1,46,81516.464938594
model_core_stage_2,46,81516.464938594
model_core_stage_3,46,81516.464938594
model_core_stage_4,46,81516.464938594
model_core_stage_5,46,81516.464938594
model_core_stage_6,46,81516.464938594
model_core_stage_7,46,74276.298293117
model_core,47,642562.188521131
model_core_stage_0,47,74036.602572248
model_core_stage_1,47,82262.891746942
model_core_stage_2,47,82262.891746942
model_core_stage_3,47,82262.891746942
model_core_stage_4,47,82262.891746942
model_core_stage_5,47,82262.891746942
model_core_stage_6,47,82262.891746942
model_core_stage_7,47,74948.235467230
model_core,48,648205.212943295
model_core_stage_0,48,74687.703115582
model_core_stage_1,48,82986.336795092
model_core_stage_2,48,82986.336795092
model_core_stage_3,48,82986.336795092
model_core_stage_4,48,82986.336795092
model_core_stage_5,48,82986.336795092
model_core_stage_6,48,82986.336795092
model_core_stage_7,48,75599.489057163
model_core,49,653674.505448216
model_core_stage_0,49,75318.757668466
model_core_stage_1,49,83687.508520517
model_core_stage_2,49,83687.508520517
model_core_stage_3,49,83687.508520517
model_core_stage_4,49,83687.508520517
model_core_stage_5,49,83687.508520517
model_core_stage_6,49,83687.508520517
model_core_stage_7,49,76230.696656646
model_core,50,658975.421509096
model_core_stage_0,50,75930.384170113
model_core_stage_1,50,84367.093522348
model_core_stage_2,50,84367.093522348
model_core_stage_3,50,84367.093522348
model_core_stage_4,50,84367.093522348
model_core_stage_5,50,84367.093522348
model_core_stage_6,50,84367.093522348
model_core_stage_7,50,76842.476204893
model_core,51,664113.151510913
model_core_stage_0,51,76523.181511100
model_core_stage_1,51,85025.757234556
model_core_stage_2,51,85025.757234556
model_core_stage_3,51,85025.757234556
model_core_stage_4,51,85025.757234556
model_core_stage_5,51,85025.757234556
model_core_stage_6,51,85025.757234556
model_core_stage_7,51,77435.426592478
model_core,52,669092.725839448
model_core_stage_0,52,77097.730120554
model_core_stage_1,52,85664.144578394
model_core_stage_2,52,85664.144578394
model_core_stage_3,52,85664.144578394
model_core_stage_4,52,85664.144578394
model_core_stage_5,52,85664.144578394
model_core_stage_6,52,85664.144578394
model_core_stage_7,52,78010.128248532
model_core,53,673919.019813429
model_core_stage_0,53,77654.592535252
model_core_stage_1,53,86282.880594725
model_core_stage_2,53,86282.880594725
model_core_stage_3,53,86282.880594725
model_core_stage_4,53,86282.880594725
model_core_stage_5,53,86282.880594725
model_core_stage_6,53,86282.880594725
model_core_stage_7,53,78567.143709829
model_core,54,678596.758464642
model_core_stage_0,54,78194.313951169
model_core_stage_1,54,86882.571056855
model_core_stage_2,54,86882.571056855
model_core_stage_3,54,86882.571056855
model_core_stage_4,54,86882.571056855
model_core_stage_5,54,86882.571056855
model_core_stage_6,54,86882.571056855
model_core_stage_7,54,79107.018172345
model_core,55,683130.521170684
model_core_stage_0,55,78717.422758028
model_core_stage_1,55,87463.803064476
model_core_stage_2,55,87463.803064476
model_core_stage_3,55,87463.803064476
model_core_stage_4,55,87463.803064476
model_core_stage_5,55,87463.803064476
model_core_stage_6,55,87463.803064476
model_core_stage_7,55,79630.280025803
model_core,56,687524.746144915
model_core_stage_0,56,79224.431057370
model_core_stage_1,56,88027.145619300
model_core_stage_2,56,88027.145619300
model_core_stage_3,56,88027.145619300
model_core_stage_4,56,88027.145619300
model_core_stage_5,56,88027.145619300
model_core_stage_6,56,88027.145619300
model_core_stage_7,56,80137.441371744
model_core,57,691783.734787993
model_core_stage_0,57,79715.835164656
model_core_stage_1,57,88573.150182951
model_core_stage_2,57,88573.150182951
model_core_stage_3,57,88573.150182951
model_core_stage_4,57,88573.150182951
model_core_stage_5,57,88573.150182951
model_core_stage_6,57,88573.150182951
model_core_stage_7,57,80628.998525629
model_core,58,695911.655905276
model_core_stage_0,58,80192.116095889
model_core_stage_1,58,89102.351217654
model_core_stage_2,58,89102.351217654
model_core_stage_3,58,89102.351217654
model_core_stage_4,58,89102.351217654
model_core_stage_5,58,89102.351217654
model_core_stage_6,58,89102.351217654
model_core_stage_7,58,81105.432503461
model_core,59,699912.549794211
model_core_stage_0,59,80653.740039235
model_core_stage_1,59,89615.266710262
model_core_stage_2,59,89615.266710262
model_core_stage_3,59,89615.266710262
model_core_stage_4,59,89615.266710262
model_core_stage_5,59,89615.266710262
model_core_stage_6,59,89615.266710262
model_core_stage_7,59,81567.209493406
model_core,60,703790.332205732
model_core_stage_0,60,81101.158812111
model_core_stage_1,60,90112.398680123
model_core_stage_2,60,90112.398680123
model_core_stage_3,60,90112.398680123
model_core_stage_4,60,90112.398680123
model_core_stage_5,60,90112.398680123
model_core_stage_6,60,90112.398680123
model_core_stage_7,60,82014.781312881
model_core,61,707548.798183540
model_core_stage_0,61,81534.810304174
model_core_stage_1,61,90594.233671304
model_core_stage_2,61,90594.233671304
model_core_stage_3,61,90594.233671304
model_core_stage_4,61,90594.233671304
model_core_stage_5,61,90594.233671304
model_core_stage_6,61,90594.233671304
model_core_stage_7,61,82448.585851542
model_core,62,711191.625785030
model_core_stage_0,62,81955.118906661
model_core_stage_1,62,91061.243229623
model_core_stage_2,62,91061.243229623
model_core_stage_3,62,91061.243229623
model_core_stage_4,62,91061.243229623
model_core_stage_5,62,91061.243229623
model_core_stage_6,62,91061.243229623
model_core_stage_7,62,82869.047500629
model_core,63,714722.379687525
model_core_stage_0,63,82362.495928495
model_core_stage_1,63,91513.884364995
model_core_stage_2,63,91513.884364995
model_core_stage_3,63,91513.884364995
model_core_stage_4,63,91513.884364995
model_core_stage_5,63,91513.884364995
model_core_stage_6,63,91513.884364995
model_core_stage_7,63,83276.577569062
